"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"1948";"Hibok-Hibok";"Mindanao-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1948";"Villarrica";"Chile-C";"Chile";"Stratovolcano";"Historical";"3"
"1949";"Purace";"Colombia";"Colombia";"Stratovolcano";"Historical";"2"
"1950";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"1"
"1950";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1951";"Lamington";"New Guinea";"Papua New Guinea";"Stratovolcano";"Historical";"4"
"1951";"Cosiguina";"Nicaragua";"Nicaragua";"Stratovolcano";"Historical";""
"1951";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1951";"Kavachi";"Solomon Is-SW Pacifi";"Solomon Is.";"Submarine volcano";"Historical";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Ambalatungan Group";"Luzon-Philippines";"Philippines";"Compound volcano";"Fumarolic";"1"
"1953";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1953";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1953";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1953";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"2"
"1953";"St. Andrew Strait";"Admiralty Is-SW Paci";"Papua New Guinea";"Complex volcano";"Historical";"0"
"1953";"Sirung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";"0"
"1953";"Oshima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"1"
"1954";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";""
"1954";"Bam";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"2"
"1954";"Hibok-Hibok";"Mindanao-Philippines";"Philippines";"Stratovolcano";"Historical";""
"1955";"Carran-Los Venados";"Chile-C";"Chile";"Pyroclastic cone";"Historical";"4"
"1955";"Sakura-jima";"Kyushu-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1956";"Bezymianny";"Kamchatka";"Russia";"Stratovolcano";"Historical";"5"
"1957";"Vsevidof";"Aleutian Is";"United States";"Stratovolcano";"Historical";"2"
"1957";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1957";"Oshima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1957";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"2"
"1958";"Mahawu";"Sulawesi-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1958";"Kuwae";"Vanuatu-SW Pacific";"Vanuatu";"Caldera";"Historical";"2"
"1960";"Puyehue";"Chile-C";"Chile";"Stratovolcano";"Holocene";"3"
"1961";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1962";"Tokachi";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1962";"Gamalama";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1963";"Irazu";"Costa Rica";"Costa Rica";"Stratovolcano";"Historical";"3"
"1963";"Agung";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"4"
"1963";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1963";"Agung";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"3"
"1963";"Villarrica";"Chile-C";"Chile";"Stratovolcano";"Historical";"2"
"1963";"Batur";"Lesser Sunda Is";"Indonesia";"Caldera";"Historical";"2"
"1963";"Fuego";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"3"
"1964";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"2"
"1964";"Villarrica";"Chile-C";"Chile";"Stratovolcano";"Historical";"2"
"1964";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"1"
"1965";"Taal";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"4"
"1966";"Tinakula";"Santa Cruz Is-SW Pac";"Solomon Is.";"Stratovolcano";"Historical";"3"
"1966";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"4"
"1966";"Awu";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"4"
"1966";"Lengai, Ol Doinyo";"Africa-E";"Tanzania";"Stratovolcano";"Historical";"4"
"1967";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1967";"Lengai, Ol Doinyo";"Africa-E";"Tanzania";"Stratovolcano";"Historical";"3"
"1967";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1967";"Deception Island";"Antarctica";"Antarctica";"Caldera";"Historical";"3"
"1968";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1968";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1968";"Arenal";"Costa Rica";"Costa Rica";"Stratovolcano";"Historical";"3"
"1969";"Iya";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"3"
"1969";"Didicas";"Luzon-N of";"Philippines";"Compound volcano";"Historical";"2"
"1970";"Hekla";"Iceland-S";"Iceland";"Stratovolcano";"Historical";"3"
"1971";"Hudson, Cerro";"Chile-S";"Chile";"Stratovolcano";"Historical";"3"
"1971";"Tinakula";"Santa Cruz Is-SW Pac";"Solomon Is.";"Stratovolcano";"Historical";"2"
"1971";"Fuego";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"3"
"1971";"La Palma";"Canary Is";"Spain";"Stratovolcano";"Historical";"2"
"1971";"Villarrica";"Chile-C";"Chile";"Stratovolcano";"Historical";"2"
"1972";"Fournaise, Piton de la";"Indian O-W";"Reunion";"Shield volcano";"Historical";"2"
"1972";"Ritter Island";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"1"
"1973";"Vestmannaeyjar";"Iceland-S";"Iceland";"Submarine volcano";"Historical";"3"
"1973";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"3"
"1973";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1973";"Iliwerung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";"2"
"1974";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"3"
"1974";"Sakura-jima";"Kyushu-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1974";"Niigata-Yake-yama";"Honshu-Japan";"Japan";"Lava dome";"Historical";"2"
"1974";"Sakura-jima";"Kyushu-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1974";"Fuego";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"4"
"1974";"Ritter Island";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"1"
"1975";"Marapi";"Sumatra";"Indonesia";"Complex volcano";"Historical";"2"
"1975";"Arenal";"Costa Rica";"Costa Rica";"Stratovolcano";"Historical";"3"
"1975";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";"0"
"1976";"Sangay";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"3"
"1976";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1976";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1977";"Nyiragongo";"Africa-C";"Congo, DRC";"Stratovolcano";"Historical";"1"
"1977";"Karthala";"Indian O-W";"Comoros";"Shield volcano";"Historical";"0"
"1977";"Krafla";"Iceland-NE";"Iceland";"Caldera";"Historical";"1"
"1977";"Kliuchevskoi";"Kamchatka";"Russia";"Stratovolcano";"Historical";"3"
"1978";"Usu";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1978";"Bulusan";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1978";"Santa Maria";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"3"
"1979";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"1"
"1979";"Karkar";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"2"
"1979";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1979";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"2"
"1980";"St. Helens";"US-Washington";"United States";"Stratovolcano";"Historical";"5"
"1980";"Hekla";"Iceland-S";"Iceland";"Stratovolcano";"Historical";"3"
"1981";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1981";"Alaid";"Kuril Is";"Russia";"Stratovolcano";"Historical";"2"
"1981";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";""
"1981";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"2"
"1982";"Chichon, El";"Mexico";"Mexico";"Tuff cone";"Historical";"5"
"1982";"Chichon, El";"Mexico";"Mexico";"Tuff cone";"Historical";"5"
"1982";"Galunggung";"Java";"Indonesia";"Stratovolcano";"Historical";"4"
"1982";"Chichon, El";"Mexico";"Mexico";"Tuff cone";"Historical";"5"
"1983";"Kliuchevskoi";"Kamchatka";"Russia";"Stratovolcano";"Historical";"2"
"1983";"Colo [Una Una]";"Sulawesi-Indonesia";"Indonesia";"Stratovolcano";"Historical";"4"
"1983";"Iliwerung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";"1"
"1983";"Miyake-jima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1984";"San Joaquin";"Africa-W";"Equatorial Guinea";"Shield volcano";"Holocene";""
"1984";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1985";"Ruiz";"Colombia";"Colombia";"Stratovolcano";"Historical";"3"
"1986";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1986";"Oku Volc Field";"Africa-W";"Cameroon";"Maar";"Radiocarbon";"3"
"1986";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1986";"Oshima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1987";"Pacaya";"Guatemala";"Guatemala";"Complex volcano";"Historical";"3"
"1987";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1987";"Sirung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";""
"1988";"Banda Api";"Banda Sea";"Pacific Ocean";"Caldera";"Historical";"3"
"1988";"Arenal";"Costa Rica";"Costa Rica";"Stratovolcano";"Historical";"3"
"1988";"Lonquimay";"Chile-C";"Chile";"Stratovolcano";"Historical";"3"
"1990";"Shiveluch";"Kamchatka";"Russia";"Stratovolcano";"Historical";"3"
"1990";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"4"
"1990";"Sabancaya";"Peru";"Peru";"Stratovolcano";"Historical";"3"
"1990";"Santa Maria";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"3"
"1990";"Unzen";"Kyushu-Japan";"Japan";"Complex volcano";"Historical";"1"
"1991";"Pinatubo";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"6"
"1991";"Karthala";"Indian O-W";"Comoros";"Shield volcano";"Historical";"2"
"1991";"Hudson, Cerro";"Chile-S";"Chile";"Stratovolcano";"Historical";"5"
"1991";"Lokon-Empung";"Sulawesi-Indonesia";"Indonesia";"Stratovolcano";"Historical";"1"
"1991";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1992";"Negro, Cerro";"Nicaragua";"Nicaragua";"Cinder cone";"Historical";"3"
"1992";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"1"
"1992";"Pinatubo";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"1"
"1992";"Spurr";"Alaska-SW";"United States";"Stratovolcano";"Historical";"3"
"1993";"Galeras";"Colombia";"Colombia";"Complex volcano";"Historical";"2"
"1993";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1993";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";"0"
"1993";"Krakatau";"Indonesia";"Indonesia";"Caldera";"Historical";"1"
"1993";"Unzen";"Kyushu-Japan";"Japan";"Complex volcano";"Historical";"1"
"1994";"Yasur";"Vanuatu-SW Pacific";"Vanuatu";"Stratovolcano";"Historical";"3"
"1994";"Marapi";"Sumatra";"Indonesia";"Complex volcano";"Historical";"2"
"1994";"Rabaul";"New Britain-SW Pac";"Papua New Guinea";"Pyroclastic shield";"Historical";"3"
"1994";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1995";"Fogo";"Cape Verde Is";"Cape Verde";"Stratovolcano";"Historical";"2"
"1996";"Karymsky";"Kamchatka";"Russia";"Stratovolcano";"Historical";"2"
"1996";"Popocatepetl";"Mexico";"Mexico";"Stratovolcano";"Historical";"3"
"1996";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1996";"Grimsvotn";"Iceland-NE";"Iceland";"Caldera";"Historical";"3"
"1997";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"1"
"1997";"Soufriere Hills";"W Indies";"Montserrat";"Stratovolcano";"Historical";"3"
"1997";"Soufriere Hills";"W Indies";"Montserrat";"Stratovolcano";"Historical";"3"
"1997";"Soufriere Hills";"W Indies";"Montserrat";"Stratovolcano";"Historical";""
"1998";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";""
"1999";"Soufriere Hills";"W Indies";"Montserrat";"Stratovolcano";"Historical";"3"
"1999";"Fuego";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"2"
"1999";"Shiveluch";"Kamchatka";"Russia";"Stratovolcano";"Historical";"4"
"2000";"Miyake-jima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"2"
"2000";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";""
"2001";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"3"
"2001";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"2002";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"3"
"2002";"Nyiragongo";"Africa-C";"Congo, DRC";"Stratovolcano";"Historical";"1"
"2002";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"3"
"2002";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";""
"2003";"Soufriere Hills";"W Indies";"Montserrat";"Stratovolcano";"Historical";"3"
"2004";"Tengger Caldera";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"2005";"Karthala";"Indian O-W";"Comoros";"Shield volcano";"Historical";""
"2006";"Raoul Island";"Kermadec Is";"New Zealand";"Stratovolcano";"Historical";""
"2006";"Soufriere Hills";"W Indies";"Montserrat";"Stratovolcano";"Historical";"2"
"2006";"Bulusan";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"2006";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"1"
"2006";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"1"
"2006";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"3"
"2006";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"3"
"2007";"Huila";"Colombia";"Colombia";"Stratovolcano";"Historical";""
"2007";"Tair, Jebel at";"Red Sea";"Yemen";"Stratovolcano";"Historical";""
"2008";"Chaiten";"Chile-S";"Chile";"Caldera";"Holocene";""
"2008";"Kasatochi";"Aleutian Is";"United States";"Stratovolcano";"Historical";"3"
"2008";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"3"
"2008";"Huila";"Colombia";"Colombia";"Stratovolcano";"Historical";""
"2009";"Redoubt";"Alaska-SW";"United States";"Stratovolcano";"Historical";""
"2009";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";""
"2010";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"3"
"2010";"Eyjafjallajokull";"Iceland-S";"Iceland";"Stratovolcano";"Historical";"2"
"2010";"Pacaya";"Guatemala";"Guatemala";"Complex volcano";"Historical";"1"
"2010";"Sarigan";"Mariana Is-C Pacific";"United States";"Stratovolcano";"Holocene";""
"2010";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"3"
"2010";"Sinabung";"Sumatra";"Indonesia";"Stratovolcano";"Holocene";""
"2010";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";""
"2010";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"3"
"2010";"Tengger Caldera";"Java";"Indonesia";"Stratovolcano";"Historical";""
"2011";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";""
"2011";"Kirishima";"Kyushu-Japan";"Japan";"Shield volcano";"Historical";""
"2011";"Bulusan";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"2011";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";""
"2011";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"4"
"2011";"Puyehue";"Chile-C";"Chile";"Stratovolcano";"Holocene";"4"
"2011";"Nabro";"Africa-NE";"Eritrea";"Stratovolcano";"Holocene";"3"
"2011";"Katla";"Iceland-S";"Iceland";"Subglacial volcano";"Historical";""
"2011";"Lokon-Empung";"Sulawesi-Indonesia";"Indonesia";"Stratovolcano";"Historical";""
"2011";"Gamalama";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"3"
"2012";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";""
"2012";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";""
"2012";"Tolbachik";"Kamchatka";"Russia";"Shield volcano";"Historical";""
"2013";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";""
"2013";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";""
"2013";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";""
"2013";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"3"
"2013";"Ubinas";"Peru";"Peru";"Stratovolcano";"Historical";""
"2013";"Sakura-jima";"Kyushu-Japan";"Japan";"Stratovolcano";"Historical";""
"2013";"Sinabung";"Sumatra";"Indonesia";"Stratovolcano";"Holocene";"2"
"2014";"Sinabung";"Sumatra";"Indonesia";"Stratovolcano";"Holocene";""
"2014";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";""
"2014";"On-take";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"3"
"2014";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";""
"2014";"Fogo";"Cape Verde Is";"Cape Verde";"Stratovolcano";"Historical";""
